Артикул;Наименование
110005702;Посудомоечная машина EXITEQ EXDW-I405
110005700;Посудомоечная машина EXITEQ EXDW-I403
110005704;Посудомоечная машина EXITEQ EXDW-I604
110010220;Посудомоечная машина EXITEQ EXDW-I605
110005701;Посудомоечная машина EXITEQ EXDW-I404
110006495;Посудомоечная машина EXITEQ EXDW-T503
110007588;Вытяжка кухонная KRONA IRIDA 600 black push button
110007932;Измельчитель пищевых отходов WASTE FIGHTER F-22 Standard
110007933;Измельчитель пищевых отходов WASTE FIGHTER F-32 Standard
110007934;Измельчитель пищевых отходов WASTE FIGHTER F-42 Premium
110032398;Е100 Сифон WASTE FIGHTER U-образный
110008808;Духовой шкаф Bertazzoni, комбинированный с пароваркой F457HERVTAC
110008809;Духовой шкаф Bertazzoni, комбинированный с пароваркой F457HERVTAX
110008811;Духовой шкаф Bertazzoni, комбинированный с пароваркой F457HERVTNE
